,num_nodes,num_edges,time,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,core_cnt,top10Degreemean,top10Degreestd,token
26,61,69,2022-07-16,2.262295081967213,3.7722744657313494,21.0,7.0710678118654755,9.282608695652174,0.03770491803278686,0.06287124109552245,0.03283732660781841,0.17954729072085532,0.5989287964713296,0.005836575875486381,0.0895909106647845,0.09222992937052588,0.3247149660334118,0.06203294448978662,1,1.0,3,21.0,7.0710678118654755,Euler
27,53,59,2022-07-17,2.2264150943396226,2.501088297229229,13.0,5.656854249492381,5.838983050847458,0.04281567489114657,0.04809785186979288,0.09730546306572944,0.2698857207608028,0.6394714162596955,0.06382978723404255,0.08631586391120302,0.10787522143438562,0.2222542155758484,0.09144135072408924,3,0.8490566037735849,1,13.0,5.656854249492381,Euler
28,55,54,2022-07-18,1.9636363636363636,2.6664141294563186,14.0,1.4142135623730951,7.12962962962963,0.036363636363636404,0.04937803943437634,0.036536796536796534,0.18888901014947546,0.684670781893004,0.012295081967213115,0.08910625357092866,0.1021350011287198,0.23470190175982156,0.08903536950818089,4,0.8909090909090909,4,14.0,1.4142135623730951,Euler
29,136,134,2022-07-19,1.9705882352941178,6.049109118944504,50.5,4.949747468305833,25.626865671641788,0.014596949891067466,0.04480821569588507,0.0013659820163874144,0.014364423312691391,0.6618122076186234,0.001153846153846154,0.04376648844633675,0.07401157319482915,0.18864304239045698,0.04792904388414833,4,0.5220588235294118,3,50.5,4.949747468305833,Euler
30,31,28,2022-07-20,1.8064516129032258,1.327136135662293,5.5,2.1213203435596424,3.044642857142857,0.0602150537634409,0.04423787118874313,0.017665130568356373,0.0662023918518368,0.6862244897959184,0.061224489795918366,0.09908519371456591,0.1522767060302785,0.12458726798099026,0.05455412366771753,4,0.4838709677419355,7,5.5,2.1213203435596424,Euler
31,112,123,2022-07-21,2.1964285714285716,4.549704050793514,33.5,10.606601717798213,15.252032520325201,0.01978764478764474,0.04098832478192356,0.03593156843156843,0.17530728007310023,0.6660717826690463,0.006944444444444444,0.056181228717092836,0.0763167290919606,0.24775151943033663,0.07195820396294342,3,0.9553571428571429,3,33.5,10.606601717798213,Euler
32,51,53,2022-07-22,2.0784313725490198,2.7411175622720165,13.5,3.5355339059327378,6.495283018867924,0.0415686274509804,0.05482235124544031,0.0,0.0,0.6703453186187256,0.0,0.09458917193246467,0.10427821596188364,0.2020866949214621,0.08053714897590408,3,0.8431372549019608,4,13.5,3.5355339059327378,Euler
33,90,99,2022-07-23,2.2,4.542434134378678,29.0,15.556349186104045,13.18181818181818,0.024719101123595502,0.05103858577953563,0.03380278037140782,0.15026541400312807,0.6440669319457198,0.008678881388621022,0.06428729287630422,0.08400394303996327,0.28256784015640324,0.06662700375223995,2,0.9777777777777777,2,29.0,15.556349186104045,Euler
34,88,89,2022-07-24,2.022727272727273,6.005700879264785,33.5,31.81980515339464,16.56179775280899,0.023249738766980218,0.06903104458925037,0.01351010101010101,0.107863770826941,0.5006943567731347,0.0018072289156626507,0.07048000987404016,0.08043459557038105,0.3161189772270588,0.1116729935598088,4,0.9090909090909091,2,33.5,31.81980515339464,Euler
35,62,61,2022-07-25,1.967741935483871,4.814485458218038,24.0,19.79898987322333,12.19672131147541,0.03225806451612905,0.07892599111832847,0.0,0.0,0.5106154259607631,0.0,0.08546895955748819,0.09470346567255386,0.3025804081478829,0.08535757116916719,2,0.967741935483871,2,24.0,19.79898987322333,Euler
36,36,37,2022-07-26,2.0555555555555554,2.3045848023258144,10.0,5.656854249492381,4.864864864864865,0.05873015873015871,0.06584528006645181,0.05586080586080586,0.23224280961537064,0.5927684441197953,0.022727272727272728,0.1046522063571371,0.13155389611051813,0.18365536456254375,0.09897008576218225,5,0.6111111111111112,2,10.0,5.656854249492381,Euler
37,69,68,2022-07-27,1.9710144927536233,4.169112666534388,25.0,5.656854249492381,12.683823529411764,0.02898550724637676,0.06131048039021149,0.0,0.0,0.6259731833910035,0.0,0.07577337797993274,0.09423291451287745,0.27195364679150286,0.08823840433895644,3,0.9130434782608695,3,25.0,5.656854249492381,Euler
38,56,73,2022-07-28,2.607142857142857,3.160429035481051,15.5,4.949747468305833,5.945205479452055,0.047402597402597335,0.05746234609965545,0.020937761069340016,0.13505972721679838,0.5410020641771439,0.007653061224489796,0.10108024618256603,0.08819770091557465,0.3145419270723718,0.053100239742954705,1,1.0,5,15.5,4.949747468305833,Euler
39,44,52,2022-07-29,2.3636363636363638,3.0734490063975364,15.0,4.242640687119285,6.346153846153846,0.05496828752642709,0.07147555828831478,0.13336574299141143,0.3302653519620829,0.5504807692307693,0.043795620437956206,0.10360961599933885,0.11077549985072566,0.2612859438967652,0.09529299500879661,3,0.8863636363636364,3,15.0,4.242640687119285,Euler
40,59,78,2022-07-30,2.6440677966101696,3.8271386262180136,20.0,7.0710678118654755,7.564102564102564,0.04558737580362357,0.06598514872789674,0.06282485875706215,0.22537564518011552,0.5319690992767916,0.0162748643761302,0.09884595453520414,0.08545407710551796,0.293140273948119,0.0935257079006838,3,0.9322033898305084,3,20.0,7.0710678118654755,Euler
41,57,66,2022-07-31,2.3157894736842106,3.485469299908051,17.0,12.727922061357855,7.340909090909091,0.04135338345864659,0.06224052321264373,0.020521817363922626,0.13388307671528585,0.5639348025711661,0.00702576112412178,0.08836475227810207,0.09954586358857147,0.2794896132802903,0.08160380172991585,2,0.9649122807017544,2,17.0,12.727922061357855,Euler
42,42,41,2022-08-01,1.9523809523809523,2.35767952219644,12.0,0.0,6.146341463414634,0.04761904761904764,0.05750437859015703,0.0,0.0,0.6121356335514574,0.0,0.1072156812459759,0.11231505157133904,0.18301910860122014,0.09760393814133149,5,0.7380952380952381,3,12.0,0.0,Euler
43,58,56,2022-08-02,1.9310344827586208,3.2813244489292694,18.5,4.949747468305833,9.580357142857142,0.03387779794313374,0.057567095595250375,0.0,0.0,0.6447704081632654,0.0,0.08737304812560251,0.09887304696782395,0.24112645507566016,0.10893315583057515,5,0.8448275862068966,3,18.5,4.949747468305833,Euler
44,186,248,2022-08-03,2.6666666666666665,6.371954315734034,53.5,36.062445840513924,20.0625,0.014414414414414368,0.034442996301265176,0.10539085381558097,0.2783777261466689,0.6201141389177941,0.0158311345646438,0.04350394584214595,0.059182614571293285,0.24526302311969975,0.08012135803512675,6,0.946236559139785,2,53.5,36.062445840513924,Euler
45,121,148,2022-08-04,2.446280991735537,4.616908080131731,34.0,18.384776310850235,13.89864864864865,0.020385674931129447,0.038474234001097854,0.03173508575913756,0.16145600801522472,0.6541727538349159,0.006028131279303416,0.052135377206580506,0.07478358753022141,0.25714650482229595,0.07361727365177594,3,0.9586776859504132,1,34.0,18.384776310850235,Euler
46,49,53,2022-08-05,2.163265306122449,3.543461929946421,17.0,11.313708498984761,7.8584905660377355,0.04506802721088438,0.0738221235405504,0.0408843537414966,0.19990133620785808,0.5414738341046635,0.008264462809917356,0.09792958036667238,0.10508727198254125,0.2824849048495277,0.10811871326920412,3,0.8979591836734694,2,17.0,11.313708498984761,Euler
47,44,45,2022-08-06,2.0454545454545454,2.885041980707383,13.5,3.5355339059327378,6.6000000000000005,0.04756871035940806,0.06709399955133448,0.0,0.0,0.5911111111111111,0.0,0.11008877453742953,0.1041845763388862,0.2826265526155372,0.10069336787633011,3,0.9090909090909091,4,13.5,3.5355339059327378,Euler
48,43,49,2022-08-07,2.2790697674418605,3.466338684544396,15.0,11.313708498984761,6.581632653061225,0.05426356589147283,0.08253187344153333,0.04998008395379477,0.17132783853460537,0.4860474802165764,0.0380952380952381,0.10747758128325262,0.10946716070134355,0.33109406445488043,0.09841129033702815,2,0.9534883720930233,2,15.0,11.313708498984761,Euler
